date,kpi_name,logged_value,unit,frequency,kpi_threshold,client_id,logged_at
2024-11-01,on_time_performance,90.7,%,Daily,68958470d97275e03c78ebc0,2,2024-11-01T08:00:00
2024-11-01,on_time_performance,90.9,%,Daily,68958470d97275e03c78ebc0,2,2024-11-01T09:06:00
2024-11-01,on_time_performance,91.4,%,Daily,68958470d97275e03c78ebc0,2,2024-11-01T10:12:00
2024-11-01,on_time_performance,91.0,%,Daily,68958470d97275e03c78ebc0,2,2024-11-01T11:18:00
2024-11-01,on_time_performance,87.8,%,Daily,68958470d97275e03c78ebc0,2,2024-11-01T12:24:00
2024-11-01,on_time_performance,88.6,%,Daily,68958470d97275e03c78ebc0,2,2024-11-01T13:30:00
2024-11-01,on_time_performance,90.3,%,Daily,68958470d97275e03c78ebc0,2,2024-11-01T14:36:00
2024-11-01,on_time_performance,91.0,%,Daily,68958470d97275e03c78ebc0,2,2024-11-01T15:42:00
2024-11-01,on_time_performance,89.6,%,Daily,68958470d97275e03c78ebc0,2,2024-11-01T16:48:00
2024-11-01,on_time_performance,89.3,%,Daily,68958470d97275e03c78ebc0,2,2024-11-01T17:54:00
2024-11-01,flight_cancellation_rate,0.86,%,Daily,6895848ad97275e03c78ebc1,2,2024-11-01T08:00:00
2024-11-01,flight_cancellation_rate,0.42,%,Daily,6895848ad97275e03c78ebc1,2,2024-11-01T09:06:00
2024-11-01,flight_cancellation_rate,0.62,%,Daily,6895848ad97275e03c78ebc1,2,2024-11-01T10:12:00
2024-11-01,flight_cancellation_rate,0.96,%,Daily,6895848ad97275e03c78ebc1,2,2024-11-01T11:18:00
2024-11-01,flight_cancellation_rate,0.84,%,Daily,6895848ad97275e03c78ebc1,2,2024-11-01T12:24:00
2024-11-01,flight_cancellation_rate,1.14,%,Daily,6895848ad97275e03c78ebc1,2,2024-11-01T13:30:00
2024-11-01,flight_cancellation_rate,0.87,%,Daily,6895848ad97275e03c78ebc1,2,2024-11-01T14:36:00
2024-11-01,flight_cancellation_rate,0.56,%,Daily,6895848ad97275e03c78ebc1,2,2024-11-01T15:42:00
2024-11-01,flight_cancellation_rate,0.55,%,Daily,6895848ad97275e03c78ebc1,2,2024-11-01T16:48:00
2024-11-01,flight_cancellation_rate,0.54,%,Daily,6895848ad97275e03c78ebc1,2,2024-11-01T17:54:00
2024-11-01,passenger_load_factor,86.6,%,Daily,689584bbd97275e03c78ebc4,2,2024-11-01T08:00:00
2024-11-01,passenger_load_factor,85.2,%,Daily,689584bbd97275e03c78ebc4,2,2024-11-01T09:06:00
2024-11-01,passenger_load_factor,85.2,%,Daily,689584bbd97275e03c78ebc4,2,2024-11-01T10:12:00
2024-11-01,passenger_load_factor,86.7,%,Daily,689584bbd97275e03c78ebc4,2,2024-11-01T11:18:00
2024-11-01,passenger_load_factor,86.2,%,Daily,689584bbd97275e03c78ebc4,2,2024-11-01T12:24:00
2024-11-01,passenger_load_factor,87.5,%,Daily,689584bbd97275e03c78ebc4,2,2024-11-01T13:30:00
2024-11-01,passenger_load_factor,85.8,%,Daily,689584bbd97275e03c78ebc4,2,2024-11-01T14:36:00
2024-11-01,passenger_load_factor,83.6,%,Daily,689584bbd97275e03c78ebc4,2,2024-11-01T15:42:00
2024-11-01,passenger_load_factor,85.7,%,Daily,689584bbd97275e03c78ebc4,2,2024-11-01T16:48:00
2024-11-01,passenger_load_factor,85.6,%,Daily,689584bbd97275e03c78ebc4,2,2024-11-01T17:54:00
2024-11-01,baggage_mishandling_rate,2,Count,Daily,689584c6d97275e03c78ebc5,2,2024-11-01T08:00:00
2024-11-01,baggage_mishandling_rate,3,Count,Daily,689584c6d97275e03c78ebc5,2,2024-11-01T09:06:00
2024-11-01,baggage_mishandling_rate,3,Count,Daily,689584c6d97275e03c78ebc5,2,2024-11-01T10:12:00
2024-11-01,baggage_mishandling_rate,4,Count,Daily,689584c6d97275e03c78ebc5,2,2024-11-01T11:18:00
2024-11-01,baggage_mishandling_rate,3,Count,Daily,689584c6d97275e03c78ebc5,2,2024-11-01T12:24:00
2024-11-01,baggage_mishandling_rate,4,Count,Daily,689584c6d97275e03c78ebc5,2,2024-11-01T13:30:00
2024-11-01,baggage_mishandling_rate,2,Count,Daily,689584c6d97275e03c78ebc5,2,2024-11-01T14:36:00
2024-11-01,baggage_mishandling_rate,3,Count,Daily,689584c6d97275e03c78ebc5,2,2024-11-01T15:42:00
2024-11-01,baggage_mishandling_rate,2,Count,Daily,689584c6d97275e03c78ebc5,2,2024-11-01T16:48:00
2024-11-01,baggage_mishandling_rate,2,Count,Daily,689584c6d97275e03c78ebc5,2,2024-11-01T17:54:00
